id;name;category;main_imagen;images;sizes;price;sku;updated_at;alt_text
1;Afrodita Fotopegada;Boda;https://pedidos.colorexlab.com/1375-large_default/afrodita-fotopegada.jpg;"https://pedidos.colorexlab.com/1375-home_default/afrodita-fotopegada.jpg
https://pedidos.colorexlab.com/1542-home_default/afrodita-fotopegada.jpg
https://pedidos.colorexlab.com/1541-home_default/afrodita-fotopegada.jpg
https://pedidos.colorexlab.com/1543-home_default/afrodita-fotopegada.jpg";30x25   35x25   35x35;;;;
2;Ante;Boda;https://pedidos.colorexlab.com/1756-large_default/ante.jpg;"https://pedidos.colorexlab.com/1756-home_default/ante.jpg
https://pedidos.colorexlab.com/1755-home_default/ante.jpg
https://pedidos.colorexlab.com/1758-home_default/ante.jpg
https://pedidos.colorexlab.com/1761-home_default/ante.jpg";30x30   35x25   35x35   40x30;;;;
3;Artemisa;Boda;https://pedidos.colorexlab.com/1685-large_default/artemisa.jpg;"https://pedidos.colorexlab.com/1685-home_default/artemisa.jpg
https://pedidos.colorexlab.com/4114-home_default/artemisa.jpg
https://pedidos.colorexlab.com/2162-home_default/artemisa.jpg
https://pedidos.colorexlab.com/4113-home_default/artemisa.jpg";30x30   35x25   35x35   40x30;;;;
4;Caja Wood Wedding;Boda;https://pedidos.colorexlab.com/4084-large_default/caja-wood-wedding.jpg;"https://pedidos.colorexlab.com/4084-home_default/caja-wood-wedding.jpg
https://pedidos.colorexlab.com/4085-home_default/caja-wood-wedding.jpg
https://pedidos.colorexlab.com/4086-home_default/caja-wood-wedding.jpg
https://pedidos.colorexlab.com/4087-home_default/caja-wood-wedding.jpg";30x30   35x25   40x30;;;;
5;Colorex;Boda;https://pedidos.colorexlab.com/663-large_default/colorex.jpg;"https://pedidos.colorexlab.com/663-home_default/colorex.jpg
https://pedidos.colorexlab.com/660-home_default/colorex.jpg
https://pedidos.colorexlab.com/661-home_default/colorex.jpg
https://pedidos.colorexlab.com/664-home_default/colorex.jpg";30x30   35x25   29x36 V   36x29   35x35   30x40 V   40x30;;;;
6;Colorex Fotopegada;Boda;https://pedidos.colorexlab.com/1404-large_default/colorex-fotopegada.jpg;"https://pedidos.colorexlab.com/1404-home_default/colorex-fotopegada.jpg
https://pedidos.colorexlab.com/1549-home_default/colorex-fotopegada.jpg
https://pedidos.colorexlab.com/1406-home_default/colorex-fotopegada.jpg
https://pedidos.colorexlab.com/1405-home_default/colorex-fotopegada.jpg";30x25   25x25   35x25   35x35;;;;
7;Corak;Boda;https://pedidos.colorexlab.com/1615-large_default/corak.jpg;"https://pedidos.colorexlab.com/1615-home_default/corak.jpg
https://pedidos.colorexlab.com/1616-home_default/corak.jpg
https://pedidos.colorexlab.com/1617-home_default/corak.jpg
https://pedidos.colorexlab.com/1618-home_default/corak.jpg";30x30   35x25   36x29   35x35   30x40 V   40x30;;;;
8;Corak Fotopegada;Boda;https://pedidos.colorexlab.com/1376-large_default/corak-fotopegada.jpg;"https://pedidos.colorexlab.com/1376-home_default/corak-fotopegada.jpg
https://pedidos.colorexlab.com/1537-home_default/corak-fotopegada.jpg
https://pedidos.colorexlab.com/1538-home_default/corak-fotopegada.jpg
https://pedidos.colorexlab.com/1539-home_default/corak-fotopegada.jpg";30x25   35x25   35x35;;;;
9;Cotolino;Boda;https://pedidos.colorexlab.com/1280-large_default/cotolino.jpg;"https://pedidos.colorexlab.com/1280-home_default/cotolino.jpg
https://pedidos.colorexlab.com/1279-home_default/cotolino.jpg
https://pedidos.colorexlab.com/1283-home_default/cotolino.jpg
https://pedidos.colorexlab.com/1281-home_default/cotolino.jpg";30x30   35x25   29x36 V   36x29   35x35   30x40 V   40x30;;;;
10;Cotolino Ante;Boda;https://pedidos.colorexlab.com/1739-large_default/cotolino-ante.jpg;"https://pedidos.colorexlab.com/1739-home_default/cotolino-ante.jpg
https://pedidos.colorexlab.com/4476-home_default/cotolino-ante.jpg
https://pedidos.colorexlab.com/1741-home_default/cotolino-ante.jpg
https://pedidos.colorexlab.com/1742-home_default/cotolino-ante.jpg";30x30   35x25   35x35   40x30;;;;
11;Cotolino Fotopegada;Boda;https://pedidos.colorexlab.com/1379-large_default/cotolino-fotopegada.jpg;"https://pedidos.colorexlab.com/1379-home_default/cotolino-fotopegada.jpg
https://pedidos.colorexlab.com/1525-home_default/cotolino-fotopegada.jpg
https://pedidos.colorexlab.com/1526-home_default/cotolino-fotopegada.jpg
https://pedidos.colorexlab.com/1527-home_default/cotolino-fotopegada.jpg";30x25   25x25   35x25   35x35;;;;
12;Crystal;Boda;https://pedidos.colorexlab.com/3684-large_default/metacrilato.jpg;"https://pedidos.colorexlab.com/3684-home_default/metacrilato.jpg
https://pedidos.colorexlab.com/3685-home_default/metacrilato.jpg
https://pedidos.colorexlab.com/3687-home_default/metacrilato.jpg";30x30   35x25   36x29   35x35   40x30;;;;
13;Fine Art;Boda;https://pedidos.colorexlab.com/2392-large_default/fine-art.jpg;"https://pedidos.colorexlab.com/2392-home_default/fine-art.jpg
https://pedidos.colorexlab.com/2393-home_default/fine-art.jpg
https://pedidos.colorexlab.com/2394-home_default/fine-art.jpg
https://pedidos.colorexlab.com/2395-home_default/fine-art.jpg";30x20   30x30   40x28;;;;
14;Florencia Ring;Boda;https://pedidos.colorexlab.com/4209-large_default/florencia-ring.jpg;"https://pedidos.colorexlab.com/4209-home_default/florencia-ring.jpg
https://pedidos.colorexlab.com/4212-home_default/florencia-ring.jpg";30x30   35x25   36x29   35x35   40x30;;;;
15;Libretto;Boda;https://pedidos.colorexlab.com/1769-large_default/libretto.jpg;"https://pedidos.colorexlab.com/1769-home_default/libretto.jpg
https://pedidos.colorexlab.com/1768-home_default/libretto.jpg
https://pedidos.colorexlab.com/1770-home_default/libretto.jpg
https://pedidos.colorexlab.com/1771-home_default/libretto.jpg";20x20   25x25   25x30 V   30x30;;;;
16;Libro de firmas Fotográfico;Boda;https://pedidos.colorexlab.com/2066-large_default/libro-de-firmas-fotografico.jpg;"https://pedidos.colorexlab.com/2066-home_default/libro-de-firmas-fotografico.jpg
https://pedidos.colorexlab.com/2067-home_default/libro-de-firmas-fotografico.jpg
https://pedidos.colorexlab.com/2068-home_default/libro-de-firmas-fotografico.jpg
https://pedidos.colorexlab.com/2069-home_default/libro-de-firmas-fotografico.jpg";30x30;;;;
17;Libro de Testigos;Boda;https://pedidos.colorexlab.com/4148-large_default/libro-de-testigos.jpg;"https://pedidos.colorexlab.com/4148-home_default/libro-de-testigos.jpg
https://pedidos.colorexlab.com/4149-home_default/libro-de-testigos.jpg
https://pedidos.colorexlab.com/4150-home_default/libro-de-testigos.jpg
https://pedidos.colorexlab.com/4151-home_default/libro-de-testigos.jpg";33x33   25x36 V;;;;
18;Lino Combinado;Boda;https://pedidos.colorexlab.com/4555-large_default/lino-combinado.jpg;"https://pedidos.colorexlab.com/4555-home_default/lino-combinado.jpg
https://pedidos.colorexlab.com/4417-home_default/lino-combinado.jpg
https://pedidos.colorexlab.com/1702-home_default/lino-combinado.jpg
https://pedidos.colorexlab.com/4420-home_default/lino-combinado.jpg";30x30   25x35   35x25   36x29   35x35   30x40   40x30;;;;
19;Lino Combinado Fotopegada;Boda;https://pedidos.colorexlab.com/1377-large_default/lino-combinado-fotopegada.jpg;"https://pedidos.colorexlab.com/1377-home_default/lino-combinado-fotopegada.jpg
https://pedidos.colorexlab.com/4486-home_default/lino-combinado-fotopegada.jpg
https://pedidos.colorexlab.com/4487-home_default/lino-combinado-fotopegada.jpg
https://pedidos.colorexlab.com/4488-home_default/lino-combinado-fotopegada.jpg";30x25   25x25   35x25   35x35;;;;
